companies,commentsCount,hitsCount,likes
canon,42.68888888888889,4237.155555555555,76.08888888888889
capitalist,18.0,2432.269230769231,40.15384615384615
caravan,21.38,1369.34,188.82
catchers,15.6,1988.8,49.2
cbs,28.764705882352942,5040.64705882353,216.11764705882354
ccs,110.25,1480.25,11.25
cdc,18.90909090909091,1745.5454545454545,66.0909090909091
centra,9.6,566.1,71.8
cerebro,11.666666666666666,764.6666666666666,4.666666666666667
cfm,4.0,676.4444444444445,146.88888888888889
cgf,9.68421052631579,1270.421052631579,400.63157894736844
challenger,17.695652173913043,2007.1739130434783,670.223602484472
change,45.62564102564102,4491.194871794872,110.48717948717949
charmer,1.5,210.5,3.5
chaser,47.80357142857143,2755.25,256.85714285714283
chatfuel,98.0,1549.0,18.0
checkaso,2.0,250.4,4.2
cheeze,15.333333333333334,4761.0,67.66666666666667
chosen,39.77215189873418,3754.4556962025317,63.18987341772152
cider,10.176470588235293,850.2156862745098,162.84313725490196
ciliz,16.666666666666668,1432.0,81.66666666666667
cisco,11.727272727272727,1635.5454545454545,108.9090909090909
citadel,26.9,3532.85,149.8
citibank,81.0,7835.5,29.5
cks,10.333333333333334,144.66666666666666,9.333333333333334
clarus,26.6,2569.5333333333333,40.0
clc,6.363636363636363,1041.1818181818182,50.81818181818182
clever,29.976744186046513,1526.3488372093022,91.55813953488372
click,28.273224043715846,2579.863387978142,149.11475409836066
clipper,8.0,815.5,34.25
clos,18.75,5266.25,44.0
cloudera,2.0,2635.0,11.0
cloudy,9.8,1352.0,16.6
clout,19.571428571428573,1346.904761904762,515.2857142857143
clubs,11.0,576.75,20.5
comfy,49.0,661.0,5.0
comon,27.923076923076923,3880.153846153846,42.61538461538461
companion,16.161290322580644,3016.6129032258063,338.0967741935484
compo,4.428571428571429,495.42857142857144,22.142857142857142
concord,19.833333333333332,3517.1666666666665,356.0
