companies,neutral,negative,positive
rita,0.19724372553006506,0.027513450643860227,0.025847549807661595
robobill,0.9024099469184876,0.0501845598220825,0.0
ruvds,0.3819276269238582,0.06612354822425225,0.03862696658620949
saler,0.7671398396293322,0.1419339897111058,0.0082762984578342
savetime,0.600261722594404,0.2353613235805152,0.010317692284782699
selectel,0.3148624342843196,0.0669289620989334,0.023600171797760913
semrush,0.23458719976175169,0.04095786858856974,0.028787078567176924
seoprofy,0.6580909051828914,0.0967199222909079,0.042773166516174854
seowork,0.366807136123936,0.07590728310432374,0.03039513127477899
setters,0.2680446604369617,0.055458220848840604,0.033132245051494445
shopstat,0.2555515705724705,0.03877010541351686,0.004498004431764233
sigur,0.19452450702662455,0.041871229192307076,0.0041675465298176995
simple,0.3260298907211181,0.060326576928502726,0.025745617660303647
skillbox,0.22779508242492136,0.04652479901067202,0.023005369078248728
skillfactory,0.1841257523878849,0.027766664252946972,0.02095499218106111
skyeng,0.339850498379518,0.06572876957070826,0.030040466263391363
southbridge,0.33689601005848485,0.06413451834796013,0.018195247857768687
spotify,0.30486277266416056,0.05942705798306813,0.02751391257079523
startup lab,0.44404354564869986,0.09861486674546112,0.024126831716664365
surf,0.2947610034279105,0.0737962859210508,0.027869691967623296
synergetic,0.13317413373144354,0.03824216611429946,0.0267736675600567
talkbank,0.22489965580548946,0.018118196771806705,0.14707761243251818
tele2,0.5011269175270676,0.0981139481070565,0.025856035453159953
textback,0.22668393594179015,0.04143582343107156,0.00975510542659362
the architect,0.16254644951826747,0.031334820917488924,0.0297288659948437
thundermark capital,0.0,0.0,0.0
tiktok,0.21658718617560418,0.03699898805241415,0.013073889409317755
timeless,0.3290577815905211,0.03718549480783317,0.07294464595831664
timepad,0.3054925295779546,0.06967721255320128,0.047611135143166144
tj,0.3866658270617537,0.08204645093011638,0.03359278999754321
travelline,0.4563636898994446,0.0492116484045982,0.01768355108797548
uma.tech,0.0,0.0,0.0
uniqlo,0.1798744793583957,0.038426200565505324,0.015167719946143797
uplift.club,0.3096916286055656,0.09012338343788595,0.00749024628278085
userlist,0.6079654074850537,0.11842194660788485,0.08449748427503634
velobeat,0.24369940393686917,0.03587751670186949,0.0103648976410612
versus.legal,0.8374999761581421,0.1851176917552948,0.0
vk,0.3016044027362952,0.05637107064984697,0.030259129554687975
waves,0.3140736965624495,0.05580122209468456,0.028867466406893503
webinar group,0.4363175800868443,0.02899914820279393,0.010973229472126271
welltory,0.35847499432145147,0.05689810166037725,0.04536609751503164
whoosh,0.2999272177880691,0.09082020619682102,0.019107844586039185
winstrike,0.2968560934622271,0.042958001687453146,0.06609789021845747
wise,0.32541150514644607,0.07001312556986639,0.0287531859860798
yandex.cloud,0.22266472539391405,0.04282354439095462,0.021577861995977367
yota,0.4282487300807614,0.08586422612300362,0.030488488200028755
zaycev.net,0.06485907385365995,0.009962180874750266,0.027086708915766106
zigmund.online,0.06527505258009547,0.013669509179003173,0.01269993689059028
zimad,0.1695486268631502,0.035885330408478064,0.0
авиасейлс,0.20475916011435402,0.021884854018564045,0.021068080031324387
авито,0.3364392998703422,0.08341118483772947,0.019112320601668658
автоваз,0.5093716719395481,0.1052216233235882,0.030126121959451156
академия ростеха,0.1804935187101364,0.01850465759634971,0.0
алиф,0.04385821430806429,0.0225013461900174,0.006570184555509159
альфа-банк,0.3430981695073894,0.08154749900368875,0.021098411074030998
альфа-капитал,0.23045846978390433,0.06132689847416705,0.006562468399956678
апрель капитал,0.24650102257728576,0.01060544048741575,0.0
аскона,0.25213313027278844,0.049237898467308014,0.02061027515390417
аспро,0.3427669140903486,0.07935501858946821,0.011147034976867915
билайн бизнес,0.2735949960296436,0.08895403730327371,0.004704473700917277
битрикс24,0.4171953163933736,0.07175990616093592,0.033120321304986704
